区分,一般名コード,一般名処方の標準的な記載,成分名,規格,一般名処方加算対象,例外コード,同一剤形・規格内の最低薬価,備考,薬価基準収載医薬品コード_例外コード,品名_例外コード,備考_例外コード
内用薬,1124001F1ZZZ,【般】エスタゾラム錠１ｍｇ,エスタゾラム,１ｍｇ１錠,"加算1,2",,6.1,,,,
内用薬,1124001F2ZZZ,【般】エスタゾラム錠２ｍｇ,エスタゾラム,２ｍｇ１錠,"加算1,2",,10,,,,
内用薬,1124003B1ZZZ,【般】ニトラゼパム散１％,ニトラゼパム,１％１ｇ,"加算1,2",,6.3,,,,
内用薬,1124003C1ZZZ,【般】ニトラゼパム細粒１％,ニトラゼパム,１％１ｇ,"加算1,2",,6.3,,,,
内用薬,1124003F2ZZZ,【般】ニトラゼパム錠５ｍｇ,ニトラゼパム,５ｍｇ１錠,"加算1,2",,5.5,,,,
内用薬,1124003F3ZZZ,【般】ニトラゼパム錠１０ｍｇ,ニトラゼパム,１０ｍｇ１錠,"加算1,2",,5.7,,,,
内用薬,1124007F1ZZZ,【般】トリアゾラム錠０．１２５ｍｇ,トリアゾラム,０．１２５ｍｇ１錠,"加算1,2",,5.7,,,,
内用薬,1124007F2ZZZ,【般】トリアゾラム錠０．２５ｍｇ,トリアゾラム,０．２５ｍｇ１錠,"加算1,2",,5.9,,,,
内用薬,1124008F1ZZZ,【般】フルニトラゼパム錠１ｍｇ,フルニトラゼパム,１ｍｇ１錠,"加算1,2",,5.7,,,,
内用薬,1124008F2ZZZ,【般】フルニトラゼパム錠２ｍｇ,フルニトラゼパム,２ｍｇ１錠,"加算1,2",,5.9,,,,
内用薬,1124009F1ZZZ,【般】ブロチゾラム錠０．２５ｍｇ,ブロチゾラム,０．２５ｍｇ１錠,"加算1,2",,10.1,,,,
内用薬,1124009F2ZZZ,【般】ブロチゾラム口腔内崩壊錠０．２５ｍｇ,ブロチゾラム,０．２５ｍｇ１錠,"加算1,2",,10.1,,,,
内用薬,1124009F3ZZZ,【般】ブロチゾラム錠０．１２５ｍｇ,ブロチゾラム,０．１２５ｍｇ１錠,加算1,,5.7,,,,
内用薬,1124017B1ZZZ,【般】ジアゼパム散１％,ジアゼパム,１％１ｇ,"加算1,2",,6.3,,,,
内用薬,1124017F2ZZZ,【般】ジアゼパム錠２ｍｇ,ジアゼパム,２ｍｇ１錠,"加算1,2",,5.7,,,,
内用薬,1124017F4ZZZ,【般】ジアゼパム錠５ｍｇ,ジアゼパム,５ｍｇ１錠,"加算1,2",,5.8,,,,
内用薬,1124017F5ZZZ,【般】ジアゼパム錠１０ｍｇ,ジアゼパム,１０ｍｇ１錠,"加算1,2",,5.7,,,,
内用薬,1124020C1ZZZ,【般】ブロマゼパム細粒１％,ブロマゼパム,１％１ｇ,"加算1,2",,21,,,,
内用薬,1124020F2ZZZ,【般】ブロマゼパム錠２ｍｇ,ブロマゼパム,２ｍｇ１錠,"加算1,2",,5.7,,,,
内用薬,1124020F3ZZZ,【般】ブロマゼパム錠３ｍｇ,ブロマゼパム,３ｍｇ１錠,加算1,,5.9,,,,
内用薬,1124020F4ZZZ,【般】ブロマゼパム錠５ｍｇ,ブロマゼパム,５ｍｇ１錠,"加算1,2",,6.3,,,,
内用薬,1124022F1ZZZ,【般】ロラゼパム錠０．５ｍｇ,ロラゼパム,０．５ｍｇ１錠,"加算1,2",,5.1,,,,
内用薬,1124022F2ZZZ,【般】ロラゼパム錠１ｍｇ,ロラゼパム,１ｍｇ１錠,"加算1,2",,5.7,,,,
内用薬,1124023F1ZZZ,【般】アルプラゾラム錠０．４ｍｇ,アルプラゾラム,０．４ｍｇ１錠,"加算1,2",,5.7,,,,
内用薬,1124023F2ZZZ,【般】アルプラゾラム錠０．８ｍｇ,アルプラゾラム,０．８ｍｇ１錠,"加算1,2",,6.3,,,,
内用薬,1124026C1ZZZ,【般】トフィソパム細粒１０％,トフィソパム,１０％１ｇ,"加算1,2",,7,,,,
内用薬,1124026F1ZZZ,【般】トフィソパム錠５０ｍｇ,トフィソパム,５０ｍｇ１錠,"加算1,2",,5.9,,,,
内用薬,1124029F1ZZZ,【般】ロフラゼプ酸エチル錠１ｍｇ,ロフラゼプ酸エチル,１ｍｇ１錠,"加算1,2",,6.4,,,,
内用薬,1124029F2ZZZ,【般】ロフラゼプ酸エチル錠２ｍｇ,ロフラゼプ酸エチル,２ｍｇ１錠,"加算1,2",,10.1,,,,
内用薬,1124030F1ZZZ,【般】クアゼパム錠１５ｍｇ,クアゼパム,１５ｍｇ１錠,"加算1,2",,32.4,,,,
内用薬,1124030F2ZZZ,【般】クアゼパム錠２０ｍｇ,クアゼパム,２０ｍｇ１錠,"加算1,2",,40.2,,,,
内用薬,1129006F1ZZZ,【般】リルマザホン塩酸塩錠１ｍｇ,リルマザホン塩酸塩水和物,１ｍｇ１錠,"加算1,2",,9.3,,,,
内用薬,1129006F2ZZZ,【般】リルマザホン塩酸塩錠２ｍｇ,リルマザホン塩酸塩水和物,２ｍｇ１錠,"加算1,2",,14.8,,,,
内用薬,1129007F1ZZZ,【般】ゾピクロン錠７．５ｍｇ,ゾピクロン,７．５ｍｇ１錠,"加算1,2",,7,,,,
内用薬,1129007F2ZZZ,【般】ゾピクロン錠１０ｍｇ,ゾピクロン,１０ｍｇ１錠,"加算1,2",,7.8,,,,
