区分,一般名コード,一般名処方の標準的な記載,成分名,規格,一般名処方加算対象,例外コード,同一剤形・規格内の最低薬価,備考,薬価基準収載医薬品コード_例外コード,品名_例外コード,備考_例外コード
内用薬,1129008F1ZZZ,【般】タンドスピロンクエン酸塩錠５ｍｇ,タンドスピロンクエン酸塩,５ｍｇ１錠,"加算1,2",,8.4,,,,
内用薬,1129008F2ZZZ,【般】タンドスピロンクエン酸塩錠１０ｍｇ,タンドスピロンクエン酸塩,１０ｍｇ１錠,"加算1,2",,14.2,,,,
内用薬,1129008F3ZZZ,【般】タンドスピロンクエン酸塩錠２０ｍｇ,タンドスピロンクエン酸塩,２０ｍｇ１錠,"加算1,2",,27.1,,,,
内用薬,1129009F1ZZZ,【般】ゾルピデム酒石酸塩錠５ｍｇ,ゾルピデム酒石酸塩,５ｍｇ１錠,"加算1,2",,10.1,,,,
内用薬,1129009F2ZZZ,【般】ゾルピデム酒石酸塩錠１０ｍｇ,ゾルピデム酒石酸塩,１０ｍｇ１錠,"加算1,2",,15.1,,,,
内用薬,1129009F3ZZZ,【般】ゾルピデム酒石酸塩口腔内崩壊錠５ｍｇ,ゾルピデム酒石酸塩,５ｍｇ１錠,加算1,,10.1,,,,
内用薬,1129009F4ZZZ,【般】ゾルピデム酒石酸塩口腔内崩壊錠１０ｍｇ,ゾルピデム酒石酸塩,１０ｍｇ１錠,加算1,,15.1,,,,
内用薬,1129009S1ZZZ,【般】ゾルピデム酒石酸塩経口液５ｍｇ,ゾルピデム酒石酸塩,５ｍｇ１ｍＬ１包,加算1,,63,,,,
内用薬,1129009S2ZZZ,【般】ゾルピデム酒石酸塩経口液１０ｍｇ,ゾルピデム酒石酸塩,１０ｍｇ２ｍＬ１包,加算1,,96.4,,,,
内用薬,1139002C1ZZZ,【般】カルバマゼピン細粒５０％,カルバマゼピン,５０％１ｇ,"加算1,2",,14.7,,,,
内用薬,1139002F1ZZZ,【般】カルバマゼピン錠２００ｍｇ,カルバマゼピン,２００ｍｇ１錠,"加算1,2",,6.5,,,,
内用薬,1139002F2ZZZ,【般】カルバマゼピン錠１００ｍｇ,カルバマゼピン,１００ｍｇ１錠,"加算1,2",,5.7,,,,
内用薬,1139004C1ZZZ,【般】バルプロ酸Ｎａ細粒２０％,バルプロ酸ナトリウム,２０％１ｇ,"加算1,2",,11.2,,,,
内用薬,1139004C2ZZZ,【般】バルプロ酸Ｎａ細粒４０％,バルプロ酸ナトリウム,４０％１ｇ,"加算1,2",,16.2,,,,
内用薬,1139004D1ZZZ,【般】バルプロ酸Ｎａ徐放顆粒４０％,バルプロ酸ナトリウム,４０％１ｇ,"加算1,2",,23.4,,,,
内用薬,1139004F1ZZZ,【般】バルプロ酸Ｎａ錠１００ｍｇ,バルプロ酸ナトリウム,１００ｍｇ１錠,"加算1,2",,9.3,,,,
内用薬,1139004F2ZZZ,【般】バルプロ酸Ｎａ錠２００ｍｇ,バルプロ酸ナトリウム,２００ｍｇ１錠,"加算1,2",,6.2,,,,
内用薬,1139004G1ZZZ,【般】バルプロ酸Ｎａ徐放錠１００ｍｇ,バルプロ酸ナトリウム,１００ｍｇ１錠,"加算1,2",,6.9,先発品はデパケンＲ錠１００ｍｇ,,,
内用薬,1139004G2ZZZ,【般】バルプロ酸Ｎａ徐放錠２００ｍｇ,バルプロ酸ナトリウム,２００ｍｇ１錠,"加算1,2",,10.4,先発品はデパケンＲ錠２００ｍｇ／セレニカＲ錠２００ｍｇ／一部先発品は用法が異なる,,,
内用薬,1139004Q1ZZZ,【般】バルプロ酸Ｎａシロップ５％,バルプロ酸ナトリウム,５％１ｍＬ,"加算1,2",,6.8,,,,
内用薬,1139005B1ZZZ,【般】ゾニサミド散２０％,ゾニサミド,２０％１ｇ,"加算1,2",,32.2,,,,
内用薬,1139005F1ZZZ,【般】ゾニサミド錠１００ｍｇ,ゾニサミド,１００ｍｇ１錠,"加算1,2",,15.8,,,,
内用薬,1139008F1ZZZ,【般】トピラマート錠５０ｍｇ,トピラマート,５０ｍｇ１錠,"加算1,2",,31,,,,
内用薬,1139008F2ZZZ,【般】トピラマート錠１００ｍｇ,トピラマート,１００ｍｇ１錠,"加算1,2",,49,,,,
内用薬,1139008F3ZZZ,【般】トピラマート錠２５ｍｇ,トピラマート,２５ｍｇ１錠,"加算1,2",,19,,,,
内用薬,1139009F1ZZZ,【般】ラモトリギン錠２ｍｇ,ラモトリギン,２ｍｇ１錠,"加算1,2",,5.9,,,,
内用薬,1139009F2ZZZ,【般】ラモトリギン錠５ｍｇ,ラモトリギン,５ｍｇ１錠,"加算1,2",,9.5,,,,
内用薬,1139009F3ZZZ,【般】ラモトリギン錠２５ｍｇ,ラモトリギン,２５ｍｇ１錠,"加算1,2",,26.3,,,,
内用薬,1139009F4ZZZ,【般】ラモトリギン錠１００ｍｇ,ラモトリギン,１００ｍｇ１錠,"加算1,2",,70.3,,,,
内用薬,1141007C1ZZZ,【般】アセトアミノフェン細粒２０％,アセトアミノフェン,２０％１ｇ,加算1,,7.7,,,,
内用薬,1141007C2ZZZ,【般】アセトアミノフェン細粒５０％,アセトアミノフェン,５０％１ｇ,加算1,,9.2,,,,
内用薬,1141007F1ZZZ,【般】アセトアミノフェン錠２００ｍｇ,アセトアミノフェン,２００ｍｇ１錠,加算1,,6.9,,,,
内用薬,1141007F2ZZZ,【般】アセトアミノフェン錠３００ｍｇ,アセトアミノフェン,３００ｍｇ１錠,加算1,,7.7,,,,
内用薬,1141007F3ZZZ,【般】アセトアミノフェン錠５００ｍｇ,アセトアミノフェン,５００ｍｇ１錠,加算1,,9,,,,
内用薬,1141007Q1ZZZ,【般】アセトアミノフェンシロップ２％,アセトアミノフェン,２％１ｍＬ,加算1,,4.7,,,,
内用薬,1141007R1ZZZ,【般】アセトアミノフェンシロップ用２０％,アセトアミノフェン,２０％１ｇ,加算1,,8.7,,,,
内用薬,1141007R2ZZZ,【般】アセトアミノフェンシロップ用４０％,アセトアミノフェン,４０％１ｇ,加算1,,10.2,,,,
内用薬,1143010F2ZZZ,【般】アスピリン３３０ｍｇ・ダイアルミネート配合錠,アスピリン・ダイアルミネート,３３０ｍｇ１錠,"加算1,2",,5.7,準先発品はバファリン配合錠Ａ３３０,,,
内用薬,1145002N1ZZZ,【般】インドメタシン徐放カプセル２５ｍｇ,インドメタシン,２５ｍｇ１カプセル,加算1,,7.3,該当する後発品の経過措置期限が令和2年3月31日であることから、同年4月1日以降は一般名処方マスタから削除される予定,,,
内用薬,1145002N2ZZZ,【般】インドメタシン徐放カプセル３７．５ｍｇ,インドメタシン,３７．５ｍｇ１カプセル,加算1,,10.3,該当する後発品の経過措置期限が令和2年3月31日であることから、同年4月1日以降は一般名処方マスタから削除される予定,,,
内用薬,1147002F1ZZZ,【般】ジクロフェナクＮａ錠２５ｍｇ,ジクロフェナクナトリウム,２５ｍｇ１錠,"加算1,2",,5.7,,,,
内用薬,1147002N1ZZZ,【般】ジクロフェナクＮａ徐放カプセル３７．５ｍｇ,ジクロフェナクナトリウム,３７．５ｍｇ１カプセル,"加算1,2",,6.3,,,,
内用薬,1149001D1ZZZ,【般】イブプロフェン顆粒２０％,イブプロフェン,２０％１ｇ,"加算1,2",,6.3,,,,
内用薬,1149001F1ZZZ,【般】イブプロフェン錠１００ｍｇ,イブプロフェン,１００ｍｇ１錠,"加算1,2",,5.1,,,,
内用薬,1149001F2ZZZ,【般】イブプロフェン錠２００ｍｇ,イブプロフェン,２００ｍｇ１錠,"加算1,2",,5.9,,,,
内用薬,1149010F1ZZZ,【般】プラノプロフェン錠７５ｍｇ,プラノプロフェン,７５ｍｇ１錠,"加算1,2",,7.4,,,,
内用薬,1149010M1ZZZ,【般】プラノプロフェンカプセル７５ｍｇ,プラノプロフェン,７５ｍｇ１カプセル,加算1,,7.4,,,,
内用薬,1149010Q1ZZZ,【般】プラノプロフェン経口液１．５％,プラノプロフェン,１．５％１ｍＬ,加算1,,6.7,,,,
内用薬,1149017M1ZZZ,【般】ピロキシカムカプセル１０ｍｇ,ピロキシカム,１０ｍｇ１カプセル,"加算1,2",,5.7,,,,
内用薬,1149017M2ZZZ,【般】ピロキシカムカプセル２０ｍｇ,ピロキシカム,２０ｍｇ１カプセル,"加算1,2",,5.7,,,,
内用薬,1149019C1ZZZ,【般】ロキソプロフェンＮａ細粒１０％,ロキソプロフェンナトリウム水和物,１０％１ｇ,"加算1,2",,11.3,,,,
内用薬,1149019F1ZZZ,【般】ロキソプロフェンＮａ錠６０ｍｇ,ロキソプロフェンナトリウム水和物,６０ｍｇ１錠,"加算1,2",,5.7,,,,
内用薬,1149019S1ZZZ,【般】ロキソプロフェンＮａ経口液０．６％,ロキソプロフェンナトリウム水和物,０．６％１ｍＬ,加算1,,2.1,,,,
内用薬,1149029F1ZZZ,【般】ザルトプロフェン錠８０ｍｇ,ザルトプロフェン,８０ｍｇ１錠,"加算1,2",,10.1,,,,
内用薬,1149030M1ZZZ,【般】アンピロキシカムカプセル１３．５ｍｇ,アンピロキシカム,１３．５ｍｇ１カプセル,"加算1,2",,16.2,,,,
内用薬,1149030M2ZZZ,【般】アンピロキシカムカプセル２７ｍｇ,アンピロキシカム,２７ｍｇ１カプセル,"加算1,2",,22.7,,,,
内用薬,1149031F1ZZZ,【般】アクタリット錠１００ｍｇ,アクタリット,１００ｍｇ１錠,"加算1,2",,25.1,,,,
内用薬,1149032F1ZZZ,【般】エトドラク錠１００ｍｇ,エトドラク,１００ｍｇ１錠,"加算1,2",,7,,,,
内用薬,1149032F2ZZZ,【般】エトドラク錠２００ｍｇ,エトドラク,２００ｍｇ１錠,"加算1,2",,9.7,,,,
内用薬,1149035F1ZZZ,【般】メロキシカム錠５ｍｇ,メロキシカム,５ｍｇ１錠,"加算1,2",,12.7,,,,
内用薬,1149035F2ZZZ,【般】メロキシカム錠１０ｍｇ,メロキシカム,１０ｍｇ１錠,"加算1,2",,17.8,,,,
内用薬,1149036F1ZZZ,【般】ロルノキシカム錠２ｍｇ,ロルノキシカム,２ｍｇ１錠,"加算1,2",,6.9,,,,
内用薬,1149036F2ZZZ,【般】ロルノキシカム錠４ｍｇ,ロルノキシカム,４ｍｇ１錠,"加算1,2",,9.5,,,,
内用薬,1149117F1ZZZ,【般】トラマドール・アセトアミノフェン配合錠,トラマドール塩酸塩・アセトアミノフェン,１錠,"加算1,2",,21.6,先発品はトラムセット配合錠,,,
内用薬,1161001C1ZZZ,【般】アマンタジン塩酸塩細粒１０％,アマンタジン塩酸塩,１０％１ｇ,"加算1,2",,7.1,,,,
内用薬,1161001F1ZZZ,【般】アマンタジン塩酸塩錠５０ｍｇ,アマンタジン塩酸塩,５０ｍｇ１錠,"加算1,2",,5.9,,,,
内用薬,1161001F2ZZZ,【般】アマンタジン塩酸塩錠１００ｍｇ,アマンタジン塩酸塩,１００ｍｇ１錠,"加算1,2",,6.1,,,,
内用薬,1162001B1ZZZ,【般】ビペリデン塩酸塩散１％,ビペリデン塩酸塩,１％１ｇ,加算1,,16.1,,,,
内用薬,1162001C1ZZZ,【般】ビペリデン塩酸塩細粒１％,ビペリデン塩酸塩,１％１ｇ,"加算1,2",,16.1,,,,
内用薬,1162001F1ZZZ,【般】ビペリデン塩酸塩錠１ｍｇ,ビペリデン塩酸塩,１ｍｇ１錠,加算1,,5.7,,,,
内用薬,1162001F2ZZZ,【般】ビペリデン塩酸塩錠２ｍｇ,ビペリデン塩酸塩,２ｍｇ１錠,加算1,,5.7,,,,
内用薬,1169002B1ZZZ,【般】トリヘキシフェニジル塩酸塩散１％,トリヘキシフェニジル塩酸塩,１％１ｇ,"加算1,2",,6.3,,,,
内用薬,1169005F1ZZZ,【般】ブロモクリプチンメシル酸塩錠２．５ｍｇ,ブロモクリプチンメシル酸塩,２．５ｍｇ１錠,"加算1,2",,16.1,,,,
内用薬,1169006C1ZZZ,【般】ドロキシドパ細粒２０％,ドロキシドパ,２０％１ｇ,"加算1,2",,68.5,,,,
内用薬,1169006F1ZZZ,【般】ドロキシドパ口腔内崩壊錠１００ｍｇ,ドロキシドパ,１００ｍｇ１錠,"加算1,2",,38.8,,,,
内用薬,1169006F2ZZZ,【般】ドロキシドパ口腔内崩壊錠２００ｍｇ,ドロキシドパ,２００ｍｇ１錠,"加算1,2",,73.1,,,,
内用薬,1169006M1ZZZ,【般】ドロキシドパカプセル１００ｍｇ,ドロキシドパ,１００ｍｇ１カプセル,加算1,,38.8,,,,
内用薬,1169006M2ZZZ,【般】ドロキシドパカプセル２００ｍｇ,ドロキシドパ,２００ｍｇ１カプセル,加算1,,73.1,,,,
内用薬,1169008D1ZZZ,【般】ペルゴリドメシル酸塩顆粒０．０２５％,ペルゴリドメシル酸塩,０．０２５％１ｇ,加算1,,98.3,,,,
内用薬,1169008F1ZZZ,【般】ペルゴリドメシル酸塩錠５０μｇ,ペルゴリドメシル酸塩,５０μｇ１錠,"加算1,2",,18.6,,,,
内用薬,1169008F2ZZZ,【般】ペルゴリドメシル酸塩錠２５０μｇ,ペルゴリドメシル酸塩,２５０μｇ１錠,"加算1,2",,73.5,,,,
内用薬,1169010F1ZZZ,【般】セレギリン塩酸塩錠２．５ｍｇ,セレギリン塩酸塩,２．５ｍｇ１錠,加算1,,169.1,,,,
内用薬,1169010F2ZZZ,【般】セレギリン塩酸塩口腔内崩壊錠２．５ｍｇ,セレギリン塩酸塩,２．５ｍｇ１錠,"加算1,2",,169.1,,,,
内用薬,1169011F1ZZZ,【般】カベルゴリン錠０．２５ｍｇ,カベルゴリン,０．２５ｍｇ１錠,"加算1,2",,37.6,,,,
内用薬,1169011F2ZZZ,【般】カベルゴリン錠１ｍｇ,カベルゴリン,１ｍｇ１錠,"加算1,2",,121.3,,,,
内用薬,1169012F1ZZZ,【般】プラミペキソール塩酸塩錠０．１２５ｍｇ,プラミペキソール塩酸塩水和物,０．１２５ｍｇ１錠,"加算1,2",,14.9,先発品はビ・シフロール錠０．１２５ｍｇ,,,
内用薬,1169012F2ZZZ,【般】プラミペキソール塩酸塩錠０．５ｍｇ,プラミペキソール塩酸塩水和物,０．５ｍｇ１錠,"加算1,2",,52.1,先発品はビ・シフロール錠０．５ｍｇ,,,
内用薬,1169012F3ZZZ,【般】プラミペキソール塩酸塩口腔内崩壊錠０．１２５ｍｇ,プラミペキソール塩酸塩水和物,０．１２５ｍｇ１錠,加算1,,14.9,,,,
内用薬,1169012F4ZZZ,【般】プラミペキソール塩酸塩口腔内崩壊錠０．５ｍｇ,プラミペキソール塩酸塩水和物,０．５ｍｇ１錠,加算1,,52.1,,,,
内用薬,1169012G1ZZZ,【般】プラミペキソール塩酸塩徐放錠０．３７５ｍｇ,プラミペキソール塩酸塩水和物,０．３７５ｍｇ１錠,"加算1,2",,35.8,先発品はミラペックスＬＡ錠０．３７５ｍｇ,,,
内用薬,1169012G2ZZZ,【般】プラミペキソール塩酸塩徐放錠１．５ｍｇ,プラミペキソール塩酸塩水和物,１．５ｍｇ１錠,"加算1,2",,123.4,先発品はミラペックスＬＡ錠１．５ｍｇ,,,
内用薬,1169013F1ZZZ,【般】ロピニロール錠０．２５ｍｇ,ロピニロール塩酸塩,０．２５ｍｇ１錠,"加算1,2",,15.8,,,,
内用薬,1169013F2ZZZ,【般】ロピニロール錠１ｍｇ,ロピニロール塩酸塩,１ｍｇ１錠,"加算1,2",,54.7,,,,
内用薬,1169013F3ZZZ,【般】ロピニロール錠２ｍｇ,ロピニロール塩酸塩,２ｍｇ１錠,"加算1,2",,95.8,,,,
内用薬,1169013F4ZZZ,【般】ロピニロール口腔内崩壊錠０．２５ｍｇ,ロピニロール塩酸塩,０．２５ｍｇ１錠,加算1,,15.8,,,,
内用薬,1169013F5ZZZ,【般】ロピニロール口腔内崩壊錠１ｍｇ,ロピニロール塩酸塩,１ｍｇ１錠,加算1,,54.7,,,,
内用薬,1169013F6ZZZ,【般】ロピニロール口腔内崩壊錠２ｍｇ,ロピニロール塩酸塩,２ｍｇ１錠,加算1,,95.8,,,,
内用薬,1169013G1ZZZ,【般】ロピニロール徐放錠２ｍｇ,ロピニロール塩酸塩,２ｍｇ１錠,"加算1,2",,91.2,,,,
内用薬,1169013G2ZZZ,【般】ロピニロール徐放錠８ｍｇ,ロピニロール塩酸塩,８ｍｇ１錠,"加算1,2",,314.5,,,,
内用薬,1169014F1ZZZ,【般】エンタカポン錠１００ｍｇ,エンタカポン,１００ｍｇ１錠,"加算1,2",,57.8,,,,
内用薬,1169101F1ZZZ,【般】レボドパ１００ｍｇ・カルビドパ配合錠,レボドパ・カルビドパ水和物,１錠,"加算1,2",,10.4,先発品はネオドパストン配合錠Ｌ１００／メネシット配合錠１００,,,
内用薬,1169101F2ZZZ,【般】レボドパ２５０ｍｇ・カルビドパ配合錠,レボドパ・カルビドパ水和物,１錠,"加算1,2",,25.1,先発品はネオドパストン配合錠Ｌ２５０／メネシット配合錠２５０,,,
内用薬,1169101F3ZZZ,【般】レボドパ５０ｍｇ・カルビドパ配合錠,レボドパ・カルビドパ水和物,１錠,加算1,,5.9,,,,
内用薬,1172014F2ZZZ,【般】レボメプロマジンマレイン酸塩錠２５ｍｇ,レボメプロマジンマレイン酸塩,２５ｍｇ１錠,加算1,,5.7,,,,
内用薬,1179008F1ZZZ,【般】マプロチリン塩酸塩錠１０ｍｇ,マプロチリン塩酸塩,１０ｍｇ１錠,"加算1,2",,5.9,,,,
内用薬,1179008F2ZZZ,【般】マプロチリン塩酸塩錠２５ｍｇ,マプロチリン塩酸塩,２５ｍｇ１錠,"加算1,2",,12.3,,,,
内用薬,1179008F3ZZZ,【般】マプロチリン塩酸塩錠５０ｍｇ,マプロチリン塩酸塩,５０ｍｇ１錠,加算1,,25.3,,,,
内用薬,1179012F1ZZZ,【般】クロチアゼパム錠５ｍｇ,クロチアゼパム,５ｍｇ１錠,"加算1,2",,5.7,,,,
内用薬,1179012F2ZZZ,【般】クロチアゼパム錠１０ｍｇ,クロチアゼパム,１０ｍｇ１錠,"加算1,2",,8.3,,,,
内用薬,1179016F1ZZZ,【般】スルピリド錠１００ｍｇ,スルピリド,１００ｍｇ１錠,"加算1,2",,6.4,,,,
内用薬,1179016F2ZZZ,【般】スルピリド錠２００ｍｇ,スルピリド,２００ｍｇ１錠,"加算1,2",,8,,,,
内用薬,1179017F1ZZZ,【般】炭酸リチウム錠１００ｍｇ,炭酸リチウム,１００ｍｇ１錠,"加算1,2",,5.9,,,,
内用薬,1179017F2ZZZ,【般】炭酸リチウム錠２００ｍｇ,炭酸リチウム,２００ｍｇ１錠,"加算1,2",,7.2,,,,
内用薬,1179019F1ZZZ,【般】ヒドロキシジンパモ酸塩錠２５ｍｇ,ヒドロキシジンパモ酸塩,２５ｍｇ１錠,加算1,,5.7,,,,
内用薬,1179019M1ZZZ,【般】ヒドロキシジンパモ酸塩カプセル２５ｍｇ,ヒドロキシジンパモ酸塩,２５ｍｇ１カプセル,"加算1,2",,5.7,,,,
内用薬,1179020C1ZZZ,【般】ハロペリドール細粒１％,ハロペリドール,１％１ｇ,"加算1,2",,7.5,,,,
内用薬,1179020F1ZZZ,【般】ハロペリドール錠０．７５ｍｇ,ハロペリドール,０．７５ｍｇ１錠,"加算1,2",,6,,,,
内用薬,1179020F2ZZZ,【般】ハロペリドール錠１ｍｇ,ハロペリドール,１ｍｇ１錠,"加算1,2",,6.1,,,,
内用薬,1179020F3ZZZ,【般】ハロペリドール錠１．５ｍｇ,ハロペリドール,１．５ｍｇ１錠,"加算1,2",,6.1,,,,
内用薬,1179020F4ZZZ,【般】ハロペリドール錠２ｍｇ,ハロペリドール,２ｍｇ１錠,加算1,,6.2,,,,
内用薬,1179020F5ZZZ,【般】ハロペリドール錠３ｍｇ,ハロペリドール,３ｍｇ１錠,"加算1,2",,6.4,,,,
内用薬,1179023F1ZZZ,【般】ペモリン錠１０ｍｇ,ペモリン,１０ｍｇ１錠,加算1,,11,,,,
内用薬,1179023F2ZZZ,【般】ペモリン錠２５ｍｇ,ペモリン,２５ｍｇ１錠,加算1,,25.1,,,,
内用薬,1179023F3ZZZ,【般】ペモリン錠５０ｍｇ,ペモリン,５０ｍｇ１錠,加算1,,48.6,,,,
内用薬,1179024C1ZZZ,【般】ゾテピン細粒１０％,ゾテピン,１０％１ｇ,"加算1,2",,22.4,,,,
内用薬,1179024C2ZZZ,【般】ゾテピン細粒５０％,ゾテピン,５０％１ｇ,"加算1,2",,91.4,,,,
内用薬,1179024F1ZZZ,【般】ゾテピン錠２５ｍｇ,ゾテピン,２５ｍｇ１錠,"加算1,2",,5.9,,,,
内用薬,1179024F2ZZZ,【般】ゾテピン錠５０ｍｇ,ゾテピン,５０ｍｇ１錠,"加算1,2",,10.5,,,,
内用薬,1179024F3ZZZ,【般】ゾテピン錠１００ｍｇ,ゾテピン,１００ｍｇ１錠,"加算1,2",,19,,,,
内用薬,1179025C1ZZZ,【般】エチゾラム細粒１％,エチゾラム,１％１ｇ,"加算1,2",,23.3,,,,
内用薬,1179025F1ZZZ,【般】エチゾラム錠０．５ｍｇ,エチゾラム,０．５ｍｇ１錠,"加算1,2",,6.4,,,,
内用薬,1179025F2ZZZ,【般】エチゾラム錠１ｍｇ,エチゾラム,１ｍｇ１錠,"加算1,2",,6.5,,,,
内用薬,1179025F3ZZZ,【般】エチゾラム錠０．２５ｍｇ,エチゾラム,０．２５ｍｇ１錠,"加算1,2",,5.9,,,,
内用薬,1179026C1ZZZ,【般】チミペロン細粒１％,チミペロン,１％１ｇ,"加算1,2",,44.4,,,,
内用薬,1179026F1ZZZ,【般】チミペロン錠０．５ｍｇ,チミペロン,０．５ｍｇ１錠,"加算1,2",,5.9,,,,
内用薬,1179026F2ZZZ,【般】チミペロン錠１ｍｇ,チミペロン,１ｍｇ１錠,"加算1,2",,6,,,,
内用薬,1179026F3ZZZ,【般】チミペロン錠３ｍｇ,チミペロン,３ｍｇ１錠,"加算1,2",,16.6,,,,
内用薬,1179028C1ZZZ,【般】ブロムペリドール細粒１％,ブロムペリドール,１％１ｇ,"加算1,2",,32.2,該当する先発品の経過措置期限が令和2年3月31日であることから、同年4月1日以降は一般名処方加算対象が１のみとなる予定,,,
内用薬,1179028F1ZZZ,【般】ブロムペリドール錠１ｍｇ,ブロムペリドール,１ｍｇ１錠,"加算1,2",,5.7,該当する先発品の経過措置期限が令和2年3月31日であることから、同年4月1日以降は一般名処方加算対象が１のみとなる予定,,,
