区分,一般名コード,一般名処方の標準的な記載,成分名,規格,一般名処方加算対象,例外コード,同一剤形・規格内の最低薬価,備考,薬価基準収載医薬品コード_例外コード,品名_例外コード,備考_例外コード
内用薬,2149040F1ZZZ,【般】カンデサルタン錠２ｍｇ,カンデサルタンシレキセチル,２ｍｇ１錠,"加算1,2",,10.4,,,,
内用薬,2149040F2ZZZ,【般】カンデサルタン錠４ｍｇ,カンデサルタンシレキセチル,４ｍｇ１錠,"加算1,2",,10.4,,,,
内用薬,2149040F3ZZZ,【般】カンデサルタン錠８ｍｇ,カンデサルタンシレキセチル,８ｍｇ１錠,"加算1,2",,10.7,,,,
内用薬,2149040F4ZZZ,【般】カンデサルタン錠１２ｍｇ,カンデサルタンシレキセチル,１２ｍｇ１錠,"加算1,2",,14.3,,,,
内用薬,2149040F5ZZZ,【般】カンデサルタン口腔内崩壊錠２ｍｇ,カンデサルタンシレキセチル,２ｍｇ１錠,加算1,,10.4,,,,
内用薬,2149040F6ZZZ,【般】カンデサルタン口腔内崩壊錠４ｍｇ,カンデサルタンシレキセチル,４ｍｇ１錠,加算1,,10.4,,,,
内用薬,2149040F7ZZZ,【般】カンデサルタン口腔内崩壊錠８ｍｇ,カンデサルタンシレキセチル,８ｍｇ１錠,加算1,,10.7,,,,
内用薬,2149040F8ZZZ,【般】カンデサルタン口腔内崩壊錠１２ｍｇ,カンデサルタンシレキセチル,１２ｍｇ１錠,加算1,,14.3,,,,
内用薬,2149041F1ZZZ,【般】バルサルタン錠２０ｍｇ,バルサルタン,２０ｍｇ１錠,"加算1,2",,10.4,,,,
内用薬,2149041F2ZZZ,【般】バルサルタン錠４０ｍｇ,バルサルタン,４０ｍｇ１錠,"加算1,2",,10.4,,,,
内用薬,2149041F3ZZZ,【般】バルサルタン錠８０ｍｇ,バルサルタン,８０ｍｇ１錠,"加算1,2",,13.2,,,,
内用薬,2149041F4ZZZ,【般】バルサルタン錠１６０ｍｇ,バルサルタン,１６０ｍｇ１錠,"加算1,2",,18.2,,,,
内用薬,2149041F5ZZZ,【般】バルサルタン口腔内崩壊錠２０ｍｇ,バルサルタン,２０ｍｇ１錠,"加算1,2",,10.4,,,,
内用薬,2149041F6ZZZ,【般】バルサルタン口腔内崩壊錠４０ｍｇ,バルサルタン,４０ｍｇ１錠,"加算1,2",,10.4,,,,
内用薬,2149041F7ZZZ,【般】バルサルタン口腔内崩壊錠８０ｍｇ,バルサルタン,８０ｍｇ１錠,"加算1,2",,13.2,,,,
内用薬,2149041F8ZZZ,【般】バルサルタン口腔内崩壊錠１６０ｍｇ,バルサルタン,１６０ｍｇ１錠,"加算1,2",,18.2,,,,
内用薬,2149042F1ZZZ,【般】テルミサルタン錠２０ｍｇ,テルミサルタン,２０ｍｇ１錠,"加算1,2",,10.4,,,,
内用薬,2149042F2ZZZ,【般】テルミサルタン錠４０ｍｇ,テルミサルタン,４０ｍｇ１錠,"加算1,2",,10.4,,,,
内用薬,2149042F3ZZZ,【般】テルミサルタン錠８０ｍｇ,テルミサルタン,８０ｍｇ１錠,"加算1,2",,11.2,,,,
内用薬,2149042F4ZZZ,【般】テルミサルタン口腔内崩壊錠２０ｍｇ,テルミサルタン,２０ｍｇ１錠,加算1,,10.4,,,,
