区分,一般名コード,一般名処方の標準的な記載,成分名,規格,一般名処方加算対象,例外コード,同一剤形・規格内の最低薬価,備考,薬価基準収載医薬品コード_例外コード,品名_例外コード,備考_例外コード
内用薬,1124001F2ZZZ,【般】エスタゾラム錠２ｍｇ,エスタゾラム,２ｍｇ１錠,"加算1,2",,6.6,,,,
内用薬,1124003C1ZZZ,【般】ニトラゼパム細粒１％,ニトラゼパム,１％１ｇ,加算1,,10.6,,,,
内用薬,1124003F2ZZZ,【般】ニトラゼパム錠５ｍｇ,ニトラゼパム,５ｍｇ１錠,"加算1,2",,5.7,,,,
内用薬,1124003F3ZZZ,【般】ニトラゼパム錠１０ｍｇ,ニトラゼパム,１０ｍｇ１錠,"加算1,2",,5.9,,,,
内用薬,1124007F1ZZZ,【般】トリアゾラム錠０．１２５ｍｇ,トリアゾラム,０．１２５ｍｇ１錠,"加算1,2",,5.9,,,,
内用薬,1124007F2ZZZ,【般】トリアゾラム錠０．２５ｍｇ,トリアゾラム,０．２５ｍｇ１錠,"加算1,2",,6.1,,,,
内用薬,1124008F1ZZZ,【般】フルニトラゼパム錠１ｍｇ,フルニトラゼパム,１ｍｇ１錠,"加算1,2",,5.9,,,,
内用薬,1124008F2ZZZ,【般】フルニトラゼパム錠２ｍｇ,フルニトラゼパム,２ｍｇ１錠,"加算1,2",,6.1,,,,
内用薬,1124009F1ZZZ,【般】ブロチゾラム錠０．２５ｍｇ,ブロチゾラム,０．２５ｍｇ１錠,"加算1,2",,10.4,,,,
内用薬,1124009F2ZZZ,【般】ブロチゾラム口腔内崩壊錠０．２５ｍｇ,ブロチゾラム,０．２５ｍｇ１錠,"加算1,2",,10.4,,,,
内用薬,1124017F2ZZZ,【般】ジアゼパム錠２ｍｇ,ジアゼパム,２ｍｇ１錠,"加算1,2",,5.9,,,,
内用薬,1124017F4ZZZ,【般】ジアゼパム錠５ｍｇ,ジアゼパム,５ｍｇ１錠,"加算1,2",,6,,,,
内用薬,1124017F5ZZZ,【般】ジアゼパム錠１０ｍｇ,ジアゼパム,１０ｍｇ１錠,"加算1,2",,5.9,,,,
内用薬,1124020F2ZZZ,【般】ブロマゼパム錠２ｍｇ,ブロマゼパム,２ｍｇ１錠,"加算1,2",,5.9,,,,
内用薬,1124020F3ZZZ,【般】ブロマゼパム錠３ｍｇ,ブロマゼパム,３ｍｇ１錠,加算1,,6.1,,,,
内用薬,1124020F4ZZZ,【般】ブロマゼパム錠５ｍｇ,ブロマゼパム,５ｍｇ１錠,"加算1,2",,6.1,,,,
内用薬,1124022F1ZZZ,【般】ロラゼパム錠０．５ｍｇ,ロラゼパム,０．５ｍｇ１錠,"加算1,2",,5.3,,,,
内用薬,1124022F2ZZZ,【般】ロラゼパム錠１ｍｇ,ロラゼパム,１ｍｇ１錠,"加算1,2",,5.9,,,,
内用薬,1124023F1ZZZ,【般】アルプラゾラム錠０．４ｍｇ,アルプラゾラム,０．４ｍｇ１錠,"加算1,2",,5.9,,,,
内用薬,1124023F2ZZZ,【般】アルプラゾラム錠０．８ｍｇ,アルプラゾラム,０．８ｍｇ１錠,"加算1,2",,6.1,,,,
内用薬,1124026C1ZZZ,【般】トフィソパム細粒１０％,トフィソパム,１０％１ｇ,加算1,,10.4,,,,
内用薬,1124026F1ZZZ,【般】トフィソパム錠５０ｍｇ,トフィソパム,５０ｍｇ１錠,"加算1,2",,6.1,,,,
内用薬,1124029F1ZZZ,【般】ロフラゼプ酸エチル錠１ｍｇ,ロフラゼプ酸エチル,１ｍｇ１錠,"加算1,2",,6.1,,,,
内用薬,1124029F2ZZZ,【般】ロフラゼプ酸エチル錠２ｍｇ,ロフラゼプ酸エチル,２ｍｇ１錠,"加算1,2",,9.6,,,,
内用薬,1124030F1ZZZ,【般】クアゼパム錠１５ｍｇ,クアゼパム,１５ｍｇ１錠,"加算1,2",,21.7,,,,
内用薬,1124030F2ZZZ,【般】クアゼパム錠２０ｍｇ,クアゼパム,２０ｍｇ１錠,"加算1,2",,27.8,,,,
内用薬,1129007F1ZZZ,【般】ゾピクロン錠７．５ｍｇ,ゾピクロン,７．５ｍｇ１錠,"加算1,2",,6.7,,,,
内用薬,1129007F2ZZZ,【般】ゾピクロン錠１０ｍｇ,ゾピクロン,１０ｍｇ１錠,"加算1,2",,7.5,,,,
内用薬,1129008F1ZZZ,【般】タンドスピロンクエン酸塩錠５ｍｇ,タンドスピロンクエン酸塩,５ｍｇ１錠,"加算1,2",,6.1,,,,
内用薬,1129008F2ZZZ,【般】タンドスピロンクエン酸塩錠１０ｍｇ,タンドスピロンクエン酸塩,１０ｍｇ１錠,"加算1,2",,9.3,,,,
内用薬,1129008F3ZZZ,【般】タンドスピロンクエン酸塩錠２０ｍｇ,タンドスピロンクエン酸塩,２０ｍｇ１錠,"加算1,2",,18,,,,
内用薬,1129009F1ZZZ,【般】ゾルピデム酒石酸塩錠５ｍｇ,ゾルピデム酒石酸塩,５ｍｇ１錠,"加算1,2",,10.4,,,,
内用薬,1129009F2ZZZ,【般】ゾルピデム酒石酸塩錠１０ｍｇ,ゾルピデム酒石酸塩,１０ｍｇ１錠,"加算1,2",,10.4,,,,
内用薬,1129009F3ZZZ,【般】ゾルピデム酒石酸塩口腔内崩壊錠５ｍｇ,ゾルピデム酒石酸塩,５ｍｇ１錠,加算1,,10.4,,,,
内用薬,1129009F4ZZZ,【般】ゾルピデム酒石酸塩口腔内崩壊錠１０ｍｇ,ゾルピデム酒石酸塩,１０ｍｇ１錠,加算1,,10.4,,,,
内用薬,1129009S1ZZZ,【般】ゾルピデム酒石酸塩経口液５ｍｇ,ゾルピデム酒石酸塩,５ｍｇ１ｍＬ１包,加算1,,29.3,,,,
内用薬,1129009S2ZZZ,【般】ゾルピデム酒石酸塩経口液１０ｍｇ,ゾルピデム酒石酸塩,１０ｍｇ２ｍＬ１包,加算1,,40.4,,,,
内用薬,1129010F1ZZZ,【般】エスゾピクロン錠１ｍｇ,エスゾピクロン,１ｍｇ１錠,"加算1,2",,7.7,,,,
内用薬,1129010F2ZZZ,【般】エスゾピクロン錠２ｍｇ,エスゾピクロン,２ｍｇ１錠,"加算1,2",,12.5,,,,
内用薬,1129010F3ZZZ,【般】エスゾピクロン錠３ｍｇ,エスゾピクロン,３ｍｇ１錠,"加算1,2",,14.6,,,,
内用薬,1139002F1ZZZ,【般】カルバマゼピン錠２００ｍｇ,カルバマゼピン,２００ｍｇ１錠,加算1,,7.7,,,,
内用薬,1139002F2ZZZ,【般】カルバマゼピン錠１００ｍｇ,カルバマゼピン,１００ｍｇ１錠,"加算1,2",,5.9,,,,
内用薬,1139004C1ZZZ,【般】バルプロ酸Ｎａ細粒２０％,バルプロ酸ナトリウム,２０％１ｇ,加算1,,18.1,,,,
内用薬,1139004D1ZZZ,【般】バルプロ酸Ｎａ徐放顆粒４０％,バルプロ酸ナトリウム,４０％１ｇ,"加算1,2",,26.3,,,,
内用薬,1139004GAZZZ,【般】バルプロ酸Ｎａ徐放錠２００ｍｇ,バルプロ酸ナトリウム,２００ｍｇ１錠,"加算1,2",例外コード,10.4,先発品はデパケンＲ錠２００ｍｇ（該当する先発品及び後発品の用法から、一般名コードを例外コードへ変更）,1139004G2012,バルプロ酸ナトリウム２００ｍｇ徐放錠,
内用薬,1139004GAZZZ,【般】バルプロ酸Ｎａ徐放錠２００ｍｇ,バルプロ酸ナトリウム,２００ｍｇ１錠,"加算1,2",例外コード,10.4,先発品はデパケンＲ錠２００ｍｇ（該当する先発品及び後発品の用法から、一般名コードを例外コードへ変更）,1139004G2063,デパケンＲ錠２００ｍｇ,
内用薬,1139004Q1ZZZ,【般】バルプロ酸Ｎａシロップ５％,バルプロ酸ナトリウム,５％１ｍＬ,"加算1,2",,7,,,,
内用薬,1139005B1ZZZ,【般】ゾニサミド散２０％,ゾニサミド,２０％１ｇ,"加算1,2",,25.6,,,,
内用薬,1139005F1ZZZ,【般】ゾニサミド錠１００ｍｇ,ゾニサミド,１００ｍｇ１錠,"加算1,2",,11.7,,,,
内用薬,1139008F1ZZZ,【般】トピラマート錠５０ｍｇ,トピラマート,５０ｍｇ１錠,"加算1,2",,21,,,,
内用薬,1139008F2ZZZ,【般】トピラマート錠１００ｍｇ,トピラマート,１００ｍｇ１錠,"加算1,2",,30.5,,,,
内用薬,1139008F3ZZZ,【般】トピラマート錠２５ｍｇ,トピラマート,２５ｍｇ１錠,"加算1,2",,11.1,,,,
内用薬,1139009F2ZZZ,【般】ラモトリギン錠５ｍｇ,ラモトリギン,５ｍｇ１錠,"加算1,2",,6.1,,,,
内用薬,1139009F3ZZZ,【般】ラモトリギン錠２５ｍｇ,ラモトリギン,２５ｍｇ１錠,"加算1,2",,7.6,,,,
内用薬,1139009F4ZZZ,【般】ラモトリギン錠１００ｍｇ,ラモトリギン,１００ｍｇ１錠,"加算1,2",,28.7,,,,
内用薬,1139010F1ZZZ,【般】レベチラセタム錠２５０ｍｇ,レベチラセタム,２５０ｍｇ１錠,"加算1,2",,25.4,,,,
内用薬,1139010F2ZZZ,【般】レベチラセタム錠５００ｍｇ,レベチラセタム,５００ｍｇ１錠,"加算1,2",,41.6,,,,
内用薬,1139010F3ZZZ,【般】レベチラセタム粒状錠２５０ｍｇ,レベチラセタム,２５０ｍｇ１包,加算1,,25.4,,,,
内用薬,1139010F4ZZZ,【般】レベチラセタム粒状錠５００ｍｇ,レベチラセタム,５００ｍｇ１包,加算1,,41.6,,,,
内用薬,1139010R1ZZZ,【般】レベチラセタムシロップ用５０％,レベチラセタム,５０％１ｇ,"加算1,2",,63.7,,,,
内用薬,1141007F1ZZZ,【般】アセトアミノフェン錠２００ｍｇ,アセトアミノフェン,２００ｍｇ１錠,加算1,,6.1,,,,
内用薬,1141007F2ZZZ,【般】アセトアミノフェン錠３００ｍｇ,アセトアミノフェン,３００ｍｇ１錠,加算1,,6.1,,,,
内用薬,1141007F3ZZZ,【般】アセトアミノフェン錠５００ｍｇ,アセトアミノフェン,５００ｍｇ１錠,加算1,,11.2,,,,
内用薬,1141007Q1ZZZ,【般】アセトアミノフェンシロップ２％,アセトアミノフェン,２％１ｍＬ,加算1,,4.9,,,,
内用薬,1141007R1ZZZ,【般】アセトアミノフェンシロップ用２０％,アセトアミノフェン,２０％１ｇ,加算1,,7.2,,,,
内用薬,1141007R2ZZZ,【般】アセトアミノフェンシロップ用４０％,アセトアミノフェン,４０％１ｇ,加算1,,14.8,,,,
内用薬,1147002F1ZZZ,【般】ジクロフェナクＮａ錠２５ｍｇ,ジクロフェナクナトリウム,２５ｍｇ１錠,"加算1,2",,5.9,,,,
内用薬,1149001D1ZZZ,【般】イブプロフェン顆粒２０％,イブプロフェン,２０％１ｇ,"加算1,2",,6.5,,,,
内用薬,1149019F1ZZZ,【般】ロキソプロフェンＮａ錠６０ｍｇ,ロキソプロフェンナトリウム水和物,６０ｍｇ１錠,"加算1,2",,10.1,,,,
内用薬,1149029F1ZZZ,【般】ザルトプロフェン錠８０ｍｇ,ザルトプロフェン,８０ｍｇ１錠,"加算1,2",,10.4,,,,
内用薬,1149031F1ZZZ,【般】アクタリット錠１００ｍｇ,アクタリット,１００ｍｇ１錠,"加算1,2",,19.8,該当する後発品の経過措置期限が令和８年３月３１日であることから、同年４月１日以降は一般名処方マスタから削除される予定,,,
内用薬,1149032F1ZZZ,【般】エトドラク錠１００ｍｇ,エトドラク,１００ｍｇ１錠,"加算1,2",,6.1,,,,
内用薬,1149032F2ZZZ,【般】エトドラク錠２００ｍｇ,エトドラク,２００ｍｇ１錠,"加算1,2",,11.5,,,,
内用薬,1149035F1ZZZ,【般】メロキシカム錠５ｍｇ,メロキシカム,５ｍｇ１錠,"加算1,2",,8,,,,
内用薬,1149035F2ZZZ,【般】メロキシカム錠１０ｍｇ,メロキシカム,１０ｍｇ１錠,"加算1,2",,10.8,,,,
内用薬,1149036F1ZZZ,【般】ロルノキシカム錠２ｍｇ,ロルノキシカム,２ｍｇ１錠,"加算1,2",,6.1,,,,
内用薬,1149036F2ZZZ,【般】ロルノキシカム錠４ｍｇ,ロルノキシカム,４ｍｇ１錠,"加算1,2",,6.1,,,,
内用薬,1149037F1ZZZ,【般】セレコキシブ錠１００ｍｇ,セレコキシブ,１００ｍｇ１錠,"加算1,2",,6.1,,,,
内用薬,1149037F2ZZZ,【般】セレコキシブ錠２００ｍｇ,セレコキシブ,２００ｍｇ１錠,"加算1,2",,7.9,,,,
内用薬,1149038F1ZZZ,【般】トラマドール塩酸塩口腔内崩壊錠２５ｍｇ,トラマドール塩酸塩,２５ｍｇ１錠,"加算1,2",,9.4,,,,
内用薬,1149038F2ZZZ,【般】トラマドール塩酸塩口腔内崩壊錠５０ｍｇ,トラマドール塩酸塩,５０ｍｇ１錠,"加算1,2",,16.2,,,,
内用薬,1149117F1ZZZ,【般】トラマドール・アセトアミノフェン配合錠,トラマドール塩酸塩・アセトアミノフェン,１錠,"加算1,2",,7.2,先発品はトラムセット配合錠／後発品はトアラセット配合錠,,,
内用薬,1161001C1ZZZ,【般】アマンタジン塩酸塩細粒１０％,アマンタジン塩酸塩,１０％１ｇ,加算1,,6.7,,,,
内用薬,1161001F1ZZZ,【般】アマンタジン塩酸塩錠５０ｍｇ,アマンタジン塩酸塩,５０ｍｇ１錠,"加算1,2",,6.1,,,,
内用薬,1161001F2ZZZ,【般】アマンタジン塩酸塩錠１００ｍｇ,アマンタジン塩酸塩,１００ｍｇ１錠,"加算1,2",,6.1,,,,
内用薬,1162001B1ZZZ,【般】ビペリデン塩酸塩散１％,ビペリデン塩酸塩,１％１ｇ,加算1,,11,,,,
内用薬,1162001C1ZZZ,【般】ビペリデン塩酸塩細粒１％,ビペリデン塩酸塩,１％１ｇ,"加算1,2",,11,,,,
内用薬,1162001F1ZZZ,【般】ビペリデン塩酸塩錠１ｍｇ,ビペリデン塩酸塩,１ｍｇ１錠,加算1,,5.9,,,,
内用薬,1162001F2ZZZ,【般】ビペリデン塩酸塩錠２ｍｇ,ビペリデン塩酸塩,２ｍｇ１錠,加算1,,5.9,,,,
内用薬,1169002B1ZZZ,【般】トリヘキシフェニジル塩酸塩散１％,トリヘキシフェニジル塩酸塩,１％１ｇ,加算1,,12.1,,,,
内用薬,1169005F1ZZZ,【般】ブロモクリプチンメシル酸塩錠２．５ｍｇ,ブロモクリプチンメシル酸塩,２．５ｍｇ１錠,"加算1,2",,11.7,,,,
内用薬,1169008F1ZZZ,【般】ペルゴリドメシル酸塩錠５０μｇ,ペルゴリドメシル酸塩,５０μｇ１錠,"加算1,2",,15,,,,
内用薬,1169008F2ZZZ,【般】ペルゴリドメシル酸塩錠２５０μｇ,ペルゴリドメシル酸塩,２５０μｇ１錠,"加算1,2",,61.1,,,,
内用薬,1169010F1ZZZ,【般】セレギリン塩酸塩錠２．５ｍｇ,セレギリン塩酸塩,２．５ｍｇ１錠,加算1,,135,,,,
内用薬,1169010F2ZZZ,【般】セレギリン塩酸塩口腔内崩壊錠２．５ｍｇ,セレギリン塩酸塩,２．５ｍｇ１錠,"加算1,2",,135,,,,
内用薬,1169012F1ZZZ,【般】プラミペキソール塩酸塩錠０．１２５ｍｇ,プラミペキソール塩酸塩水和物,０．１２５ｍｇ１錠,"加算1,2",,9.4,先発品はビ・シフロール錠０．１２５ｍｇ,,,
内用薬,1169012F2ZZZ,【般】プラミペキソール塩酸塩錠０．５ｍｇ,プラミペキソール塩酸塩水和物,０．５ｍｇ１錠,"加算1,2",,33,先発品はビ・シフロール錠０．５ｍｇ,,,
内用薬,1169012F3ZZZ,【般】プラミペキソール塩酸塩口腔内崩壊錠０．１２５ｍｇ,プラミペキソール塩酸塩水和物,０．１２５ｍｇ１錠,加算1,,9.4,,,,
内用薬,1169012F4ZZZ,【般】プラミペキソール塩酸塩口腔内崩壊錠０．５ｍｇ,プラミペキソール塩酸塩水和物,０．５ｍｇ１錠,加算1,,33,,,,
内用薬,1169012G1ZZZ,【般】プラミペキソール塩酸塩徐放錠０．３７５ｍｇ,プラミペキソール塩酸塩水和物,０．３７５ｍｇ１錠,"加算1,2",,20.9,先発品はミラペックスＬＡ錠０．３７５ｍｇ,,,
内用薬,1169012G2ZZZ,【般】プラミペキソール塩酸塩徐放錠１．５ｍｇ,プラミペキソール塩酸塩水和物,１．５ｍｇ１錠,"加算1,2",,74,先発品はミラペックスＬＡ錠１．５ｍｇ,,,
内用薬,1169013F1ZZZ,【般】ロピニロール錠０．２５ｍｇ,ロピニロール塩酸塩,０．２５ｍｇ１錠,"加算1,2",,8.7,,,,
内用薬,1169013F2ZZZ,【般】ロピニロール錠１ｍｇ,ロピニロール塩酸塩,１ｍｇ１錠,"加算1,2",,29.9,,,,
内用薬,1169013F3ZZZ,【般】ロピニロール錠２ｍｇ,ロピニロール塩酸塩,２ｍｇ１錠,"加算1,2",,50.6,,,,
内用薬,1169013F4ZZZ,【般】ロピニロール口腔内崩壊錠０．２５ｍｇ,ロピニロール塩酸塩,０．２５ｍｇ１錠,加算1,,8.7,,,,
内用薬,1169013F5ZZZ,【般】ロピニロール口腔内崩壊錠１ｍｇ,ロピニロール塩酸塩,１ｍｇ１錠,加算1,,29.9,,,,
内用薬,1169013F6ZZZ,【般】ロピニロール口腔内崩壊錠２ｍｇ,ロピニロール塩酸塩,２ｍｇ１錠,加算1,,50.6,,,,
内用薬,1169013G1ZZZ,【般】ロピニロール徐放錠２ｍｇ,ロピニロール塩酸塩,２ｍｇ１錠,"加算1,2",,46.8,,,,
内用薬,1169013G2ZZZ,【般】ロピニロール徐放錠８ｍｇ,ロピニロール塩酸塩,８ｍｇ１錠,"加算1,2",,162.7,,,,
内用薬,1169014F1ZZZ,【般】エンタカポン錠１００ｍｇ,エンタカポン,１００ｍｇ１錠,"加算1,2",,26.3,,,,
内用薬,1169015F2ZZZ,【般】ゾニサミド口腔内崩壊錠２５ｍｇ：ＴＲＥ,ゾニサミド,２５ｍｇ１錠,"加算1,2",,275,先発品はトレリーフＯＤ錠２５ｍｇ,,,
内用薬,1169015F3ZZZ,【般】ゾニサミド口腔内崩壊錠５０ｍｇ：ＴＲＥ,ゾニサミド,５０ｍｇ１錠,"加算1,2",,414.4,先発品はトレリーフＯＤ錠５０ｍｇ,,,
内用薬,1169101F1ZZZ,【般】レボドパ１００ｍｇ・カルビドパ配合錠,レボドパ・カルビドパ水和物,１錠,"加算1,2",,8.1,先発品はネオドパストン配合錠Ｌ１００／メネシット配合錠１００,,,
内用薬,1169101F2ZZZ,【般】レボドパ２５０ｍｇ・カルビドパ配合錠,レボドパ・カルビドパ水和物,１錠,"加算1,2",,29.2,先発品はネオドパストン配合錠Ｌ２５０／メネシット配合錠２５０,,,
内用薬,1169101F3ZZZ,【般】レボドパ５０ｍｇ・カルビドパ配合錠,レボドパ・カルビドパ水和物,１錠,加算1,,6.1,,,,
内用薬,1172014F2ZZZ,【般】レボメプロマジンマレイン酸塩錠２５ｍｇ,レボメプロマジンマレイン酸塩,２５ｍｇ１錠,"加算1,2",,5.9,,,,
内用薬,1179008F2ZZZ,【般】マプロチリン塩酸塩錠２５ｍｇ,マプロチリン塩酸塩,２５ｍｇ１錠,"加算1,2",,8.7,,,,
内用薬,1179012F1ZZZ,【般】クロチアゼパム錠５ｍｇ,クロチアゼパム,５ｍｇ１錠,"加算1,2",,5.9,,,,
内用薬,1179012F2ZZZ,【般】クロチアゼパム錠１０ｍｇ,クロチアゼパム,１０ｍｇ１錠,"加算1,2",,8.6,,,,
内用薬,1179016F1ZZZ,【般】スルピリド錠１００ｍｇ,スルピリド,１００ｍｇ１錠,"加算1,2",,6.6,,,,
内用薬,1179016F2ZZZ,【般】スルピリド錠２００ｍｇ,スルピリド,２００ｍｇ１錠,"加算1,2",,8.3,,,,
内用薬,1179017F2ZZZ,【般】炭酸リチウム錠２００ｍｇ,炭酸リチウム,２００ｍｇ１錠,"加算1,2",,10.4,,,,
内用薬,1179019F1ZZZ,【般】ヒドロキシジンパモ酸塩錠２５ｍｇ,ヒドロキシジンパモ酸塩,２５ｍｇ１錠,加算1,,5.9,,,,
内用薬,1179019M1ZZZ,【般】ヒドロキシジンパモ酸塩カプセル２５ｍｇ,ヒドロキシジンパモ酸塩,２５ｍｇ１カプセル,"加算1,2",,5.9,,,,
内用薬,1179020C1ZZZ,【般】ハロペリドール細粒１％,ハロペリドール,１％１ｇ,"加算1,2",,7.7,,,,
内用薬,1179020F1ZZZ,【般】ハロペリドール錠０．７５ｍｇ,ハロペリドール,０．７５ｍｇ１錠,"加算1,2",,6.2,,,,
内用薬,1179020F2ZZZ,【般】ハロペリドール錠１ｍｇ,ハロペリドール,１ｍｇ１錠,"加算1,2",,6.3,,,,
内用薬,1179020F3ZZZ,【般】ハロペリドール錠１．５ｍｇ,ハロペリドール,１．５ｍｇ１錠,"加算1,2",,6.3,,,,
内用薬,1179020F4ZZZ,【般】ハロペリドール錠２ｍｇ,ハロペリドール,２ｍｇ１錠,加算1,,6.4,,,,
内用薬,1179020F5ZZZ,【般】ハロペリドール錠３ｍｇ,ハロペリドール,３ｍｇ１錠,"加算1,2",,6.6,,,,
内用薬,1179023F1ZZZ,【般】ペモリン錠１０ｍｇ,ペモリン,１０ｍｇ１錠,加算1,,6.8,,,,
内用薬,1179023F2ZZZ,【般】ペモリン錠２５ｍｇ,ペモリン,２５ｍｇ１錠,加算1,,13.6,,,,
内用薬,1179023F3ZZZ,【般】ペモリン錠５０ｍｇ,ペモリン,５０ｍｇ１錠,加算1,,30.2,,,,
内用薬,1179024F1ZZZ,【般】ゾテピン錠２５ｍｇ,ゾテピン,２５ｍｇ１錠,"加算1,2",,7.8,該当する後発品の経過措置期限が令和８年３月３１日であることから、同年４月１日以降は一般名処方マスタから削除される予定,,,
内用薬,1179025F1ZZZ,【般】エチゾラム錠０．５ｍｇ,エチゾラム,０．５ｍｇ１錠,"加算1,2",,6.6,,,,
内用薬,1179025F2ZZZ,【般】エチゾラム錠１ｍｇ,エチゾラム,１ｍｇ１錠,"加算1,2",,6.7,,,,
内用薬,1179025F3ZZZ,【般】エチゾラム錠０．２５ｍｇ,エチゾラム,０．２５ｍｇ１錠,"加算1,2",,6.1,,,,
内用薬,1179026C1ZZZ,【般】チミペロン細粒１％,チミペロン,１％１ｇ,"加算1,2",,40.3,該当する先発品及び後発品の経過措置期限が令和８年３月３１日であることから、同年４月１日以降は一般名処方マスタから削除される予定,,,
内用薬,1179026F2ZZZ,【般】チミペロン錠１ｍｇ,チミペロン,１ｍｇ１錠,"加算1,2",,6.1,該当する先発品及び後発品の経過措置期限が令和８年３月３１日であることから、同年４月１日以降は一般名処方マスタから削除される予定,,,
内用薬,1179026F3ZZZ,【般】チミペロン錠３ｍｇ,チミペロン,３ｍｇ１錠,"加算1,2",,15.9,該当する先発品及び後発品の経過措置期限が令和８年３月３１日であることから、同年４月１日以降は一般名処方マスタから削除される予定,,,
内用薬,1179028C1ZZZ,【般】ブロムペリドール細粒１％,ブロムペリドール,１％１ｇ,加算1,,26.5,,,,
内用薬,1179028F1ZZZ,【般】ブロムペリドール錠１ｍｇ,ブロムペリドール,１ｍｇ１錠,加算1,,5.9,,,,
内用薬,1179028F2ZZZ,【般】ブロムペリドール錠３ｍｇ,ブロムペリドール,３ｍｇ１錠,加算1,,6.7,,,,
内用薬,1179028F3ZZZ,【般】ブロムペリドール錠６ｍｇ,ブロムペリドール,６ｍｇ１錠,加算1,,13.3,,,,
内用薬,1179034F1ZZZ,【般】セチプチリンマレイン酸塩錠１ｍｇ,セチプチリンマレイン酸塩,１ｍｇ１錠,"加算1,2",,6.1,,,,
内用薬,1179037F1ZZZ,【般】トラゾドン塩酸塩錠２５ｍｇ,トラゾドン塩酸塩,２５ｍｇ１錠,"加算1,2",,6.1,,,,
内用薬,1179037F2ZZZ,【般】トラゾドン塩酸塩錠５０ｍｇ,トラゾドン塩酸塩,５０ｍｇ１錠,"加算1,2",,7.2,,,,
内用薬,1179038C1ZZZ,【般】リスペリドン細粒１％,リスペリドン,１％１ｇ,"加算1,2",,46.9,,,,
内用薬,1179038F1ZZZ,【般】リスペリドン錠１ｍｇ,リスペリドン,１ｍｇ１錠,"加算1,2",,10.4,,,,
内用薬,1179038F2ZZZ,【般】リスペリドン錠２ｍｇ,リスペリドン,２ｍｇ１錠,"加算1,2",,10.4,,,,
内用薬,1179038F3ZZZ,【般】リスペリドン錠３ｍｇ,リスペリドン,３ｍｇ１錠,"加算1,2",,10.9,,,,
内用薬,1179038F5ZZZ,【般】リスペリドン口腔内崩壊錠１ｍｇ,リスペリドン,１ｍｇ１錠,"加算1,2",,10.4,,,,
内用薬,1179038F6ZZZ,【般】リスペリドン口腔内崩壊錠２ｍｇ,リスペリドン,２ｍｇ１錠,"加算1,2",,10.4,,,,
内用薬,1179038F8ZZZ,【般】リスペリドン口腔内崩壊錠３ｍｇ,リスペリドン,３ｍｇ１錠,加算1,,10.9,,,,
内用薬,1179038S1ZZZ,【般】リスペリドン経口液０．１％,リスペリドン,０．１％１ｍＬ,"加算1,2",,21.9,,,,
内用薬,1179038S2ZZZ,【般】リスペリドン経口液０．１％０．５ｍＬ,リスペリドン,０．１％０．５ｍＬ１包,加算1,,15,,,,
内用薬,1179038S3ZZZ,【般】リスペリドン経口液０．１％１ｍＬ,リスペリドン,０．１％１ｍＬ１包,加算1,,29.7,,,,
内用薬,1179038S4ZZZ,【般】リスペリドン経口液０．１％２ｍＬ,リスペリドン,０．１％２ｍＬ１包,加算1,,36.6,,,,
内用薬,1179038S5ZZZ,【般】リスペリドン経口液０．１％３ｍＬ,リスペリドン,０．１％３ｍＬ１包,加算1,,52.8,,,,
内用薬,1179039F1ZZZ,【般】フルボキサミンマレイン酸塩錠２５ｍｇ,フルボキサミンマレイン酸塩,２５ｍｇ１錠,"加算1,2",,10.4,,,,
内用薬,1179039F2ZZZ,【般】フルボキサミンマレイン酸塩錠５０ｍｇ,フルボキサミンマレイン酸塩,５０ｍｇ１錠,"加算1,2",,13.1,,,,
内用薬,1179039F3ZZZ,【般】フルボキサミンマレイン酸塩錠７５ｍｇ,フルボキサミンマレイン酸塩,７５ｍｇ１錠,"加算1,2",,18.8,,,,
内用薬,1179040F1ZZZ,【般】ミルナシプラン塩酸塩錠１５ｍｇ,ミルナシプラン塩酸塩,１５ｍｇ１錠,"加算1,2",,7.8,,,,
内用薬,1179040F2ZZZ,【般】ミルナシプラン塩酸塩錠２５ｍｇ,ミルナシプラン塩酸塩,２５ｍｇ１錠,"加算1,2",,7.5,,,,
内用薬,1179040F4ZZZ,【般】ミルナシプラン塩酸塩錠５０ｍｇ,ミルナシプラン塩酸塩,５０ｍｇ１錠,"加算1,2",,17.6,,,,
内用薬,1179041F1ZZZ,【般】パロキセチン錠１０ｍｇ,パロキセチン塩酸塩水和物,１０ｍｇ１錠,加算1,,11.6,,,,
内用薬,1179041F2ZZZ,【般】パロキセチン錠２０ｍｇ,パロキセチン塩酸塩水和物,２０ｍｇ１錠,加算1,,18.7,,,,
内用薬,1179041F3ZZZ,【般】パロキセチン錠５ｍｇ,パロキセチン塩酸塩水和物,５ｍｇ１錠,加算1,,10.4,,,,
内用薬,1179041F4ZZZ,【般】パロキセチン口腔内崩壊錠１０ｍｇ,パロキセチン塩酸塩水和物,１０ｍｇ１錠,加算1,,11.6,該当する後発品の経過措置期限が令和８年３月３１日であることから、同年４月１日以降は一般名処方マスタから削除される予定,,,
内用薬,1179041F5ZZZ,【般】パロキセチン口腔内崩壊錠２０ｍｇ,パロキセチン塩酸塩水和物,２０ｍｇ１錠,加算1,,18.7,該当する後発品の経過措置期限が令和８年３月３１日であることから、同年４月１日以降は一般名処方マスタから削除される予定,,,
